image_path,true_action,scenario_tag,source
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653763105483_jpg.rf.f3fa87f7e4357a326fbe16c794f5ae1a.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251336216_jpg.rf.efdc626c6c61e20d508c4e59fcc48f05.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653755330978_jpg.rf.d9c499a590f6134ac47951ee10641455.jpg,STOP,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656611711139_jpg.rf.755c034bbd7fc9180691e2d31581b704.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656021478666_jpg.rf.6f34f12fa67daa4b8c83f649bea78b30.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653409645039_jpg.rf.a767748fd604238fe1f08874dd1f9f69.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653388375495_jpg.rf.0e7ef8a7b032fe495844314dad3f0b2f.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653756655468_jpg.rf.76dcea21cb5a49570b76ca01634f79f8.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655169495647_jpg.rf.7f20eb75f78745eef86233404bbcf6b5.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655307157232_jpg.rf.d4681e646123ce29ad9a878f0ba1b1e4.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656230283055_jpg.rf.1f456ed74e01bafd2fbdcb666829b041.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656666314981_jpg.rf.4a598aed50594aef08523b6b453aceb8.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653387235265_jpg.rf.9a2ca3a0631ab6f0bf2811227d0d4312.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656253957623_jpg.rf.4f16fe276ed55c4942d2039f74fecdf1.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653757234952_jpg.rf.78a487b782b13d6582af3f1e00b5511e.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653754858784_jpg.rf.72945897d34aa6a63a05e15ff1b9b818.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653411462489_jpg.rf.3c0c39ea9d8571b031ffc2e9560249dc.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653754041928_jpg.rf.751e44860b5bcb16f200ae8bed997fc1.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656611860891_jpg.rf.f6adcbd64ea8e3baf65926535a6be75c.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656016790110_jpg.rf.a8fde75f1b05f1e305e653f387272e94.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655169766074_jpg.rf.81049f0550240ebdeb6950c49416741f.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656107553795_jpg.rf.75ded64c3402b90a206d7b9f452cf72c.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656611520928_jpg.rf.1452cbc944a74de896e5ac086af29653.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655970822624_jpg.rf.f74a57c3ff3ad018ac82c85fff039aae.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\images\train\frame_0004.jpg,PROCEED,night_low_light,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1655169850009_jpg.rf.ee449255f62beb37791ef9a1f736a732.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653425144950_jpg.rf.b6c8b279bec266094aa3fe4fa855dfc3.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653753914807_jpg.rf.cea29fedc6d92305ad5c6e5acd7f34a8.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656611366571_jpg.rf.4cfe970d8758bb0139377a1438a0bc3e.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655989808835_jpg.rf.b25457422558d9d888de86ded814eb2b.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656230510851_jpg.rf.edecd5cf8dbf14251842ed1cb91979a7.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653409133221_jpg.rf.463cea89ab0c98414943efeec4b6c0a1.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655169080271_jpg.rf.37624ec2afe2422174d3e57cbf15b91b.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1655369467462_jpg.rf.422dbad64832ff13f81c75eb874e69e9.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655989453118_jpg.rf.a3af9df717268f08511ee5e804410370.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656612457536_jpg.rf.46b6f371de5c81c7317aa0e08863292c.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653756628158_jpg.rf.74b9955a5534ffaac60444f96b797e69.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655993143728_jpg.rf.ea121aa4c22096ef8f60f15006491d49.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653757462012_jpg.rf.26ca79e73745d820b23f5a49c3e2905d.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655991671836_jpg.rf.7475344bd1e043329c9939aeb23bbee5.jpg,STOP,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655989935995_jpg.rf.30f22862bc8beb83bd25b7e4a6f0b746.jpg,PROCEED,night_low_light,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656667018145_jpg.rf.e951774eafbb42308e5d0fb27110643a.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655371713938_jpg.rf.6759cd9b4c01cf88b24a338e8d94c723.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653752492648_jpg.rf.7c7237e7b07b3b8705fb27f6dbdba3a8.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653756971376_jpg.rf.6fce0fff812a99d8e58e2278d7a7372b.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656146642804_jpg.rf.85bf4e2bcc7c5363fb93a45819e8cd08.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656237666681_jpg.rf.3905a3b9ead5df0e9c103892c1706507.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1656170517543_jpg.rf.74317d1ceef78c58f061c35f1f15a984.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655993120461_jpg.rf.0f1870a14f10a72e4b30c1f0d459931c.jpg,PROCEED,night_low_light,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653754898125_jpg.rf.5df9335d476816783e370e49ac3d5e70.jpg,STOP,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251789926_jpg.rf.d59c4fa5fa8b585ceee923e78a939610.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655971343661_jpg.rf.2aae45ad667dec636c49cbe846373f7c.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653344983450_jpg.rf.e4f0ade909c8bbcbc50f74ed3bb775c8.jpg,PROCEED,night_low_light,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656678940629_jpg.rf.cae2812c61fcf586b66266aa897e2af8.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655991744033_jpg.rf.dfccce5518418e21131670e5dd4adb71.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656609869832_jpg.rf.8546185b1c446abb06d4f38bb300281d.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653755212398_jpg.rf.af2f062037f146000d29cdfa6981557c.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653754101103_jpg.rf.f61231a815db5153ad2da1f2f4338d96.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653754052098_jpg.rf.7ad62e896443f6bcf290b77b4cc860eb.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653752548750_jpg.rf.9982c4aa6df6842220a7aba412820bbd.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653426460712_jpg.rf.63f42815ed20849806a5e082cbdb3894.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655306578992_jpg.rf.83a843412da311ca2b61867f1c0d400f.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655971275949_jpg.rf.05e8591193de6e7b1d12a2cf6af1fb54.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653754916333_jpg.rf.1256a48ac39efe909ae68703bab3395a.jpg,STOP,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656609600147_jpg.rf.b63eb6304e20c2b5115ebfa2b80c233a.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653758607862_jpg.rf.0aaf5709c7ca1d76b5aa2eb10d8dc3e0.jpg,STOP,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1655307765302_jpg.rf.b1d58be06e1ecee49460e14b66b0bccf.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656169849277_jpg.rf.e9d4bbe41dde1fb4e7da13f9784f3ed8.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656146358079_jpg.rf.b6a63f08d9f3c6d32b65dc251e685d86.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653385290697_jpg.rf.3372df558e50777e947dbf850a3ac016.jpg,EMERGENCY BRAKE,occluded,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655991955827_jpg.rf.d46acbcd3ad77dfed6cfd597d9b8bd58.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653752316910_jpg.rf.2d463cc9ded32f50492a99b7a582cb65.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655992637968_jpg.rf.15043c26ce2ca7f4a2eb15ab93f5c710.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655991126945_jpg.rf.de822e7745033597048aa656754e4218.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653770641744_jpg.rf.dd06f27178f86cb2178451fbbf7d12a9.jpg,STOP,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653752330059_jpg.rf.814cefe145157e1bc6a71096337548ae.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655970398154_jpg.rf.abd8f9764ecd56c5deaaf08cfb8500ed.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656237106989_jpg.rf.ad7186890dc8b441379044d29d05476b.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653753155793_jpg.rf.205c24806819216ff28790c098bcbbab.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653411303156_jpg.rf.5afceab9be22c2d55c2b1dc0b48f6a26.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653754116268_jpg.rf.8dd03555d90737a30b201b4c8c8e6709.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656667901816_jpg.rf.77ab8982b68b7c7f12ac4da2be74062d.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653757005268_jpg.rf.332d1ac59aea8823cf1a3b0bbfa6e999.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653753253206_jpg.rf.a166bafd5cc02adce3727102d3cafa10.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656237369959_jpg.rf.350084f90f5675d65f554cb6b1be7e0b.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656668314836_jpg.rf.a00eeeeed32084113836d0130f8c3727.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653752557809_jpg.rf.59114086cfbdfb151aceb4b2ee8ca5b1.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656146894462_jpg.rf.c76cfe7fc562ee254d23190f2c7cc6b3.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655993135908_jpg.rf.5dbfb02aa32d4430d089cd8ef7bc9f51.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655970568182_jpg.rf.d2eb4d0e5e04a76314d19ddb81397376.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653388815176_jpg.rf.1a39ce196fd7a58a68df7fbdbb775211.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653753484584_jpg.rf.d079d62e1d168c68f3bab9b55c633bbb.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656253667015_jpg.rf.341ed0d50c77ff82589048f05a83fed1.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655169597461_jpg.rf.6e12cfba9df38cb50ca24a85671bc5d3.jpg,STOP,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653753336423_jpg.rf.1b933eff2c353a7b009753aa45fcce0e.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655988946334_jpg.rf.a6373929bc51a8019cc5dafdad4a9401.jpg,PROCEED,night_low_light,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653753317993_jpg.rf.b8525635e5a9f07b75243bae4782a5b5.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655306687235_jpg.rf.dcd27fddfc1cf0bc2ea0a5679c0b1ae4.jpg,STOP,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656610544282_jpg.rf.d7e9d730b0c230aa394543b08037227a.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655981419288_jpg.rf.138f0ad5086dbb08f3467313bed3860b.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656015458984_jpg.rf.13d0306ccfcad2a068f97fea48994ac5.jpg,STOP,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655970452780_jpg.rf.a870983a24fa74e268e8ff34de1f25dc.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653753937414_jpg.rf.7c807f28f83eb160695e6dfa147fa119.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655168527611_jpg.rf.37f292db5152405e4cd7369388ce4585.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656608770588_jpg.rf.b668647dcdb592ba1a29c23fa671a476.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655981407201_jpg.rf.a2415a87c55345b4665e5bf878f65981.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655168617865_jpg.rf.d9a66d3ce7e999a48d3aa7a4b9a31994.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653420404408_jpg.rf.f0a572ba74c2c59decd8865d86f6154b.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656181667917_jpg.rf.33683ee435e2b33efb6b466bbc5af6c5.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656015165504_jpg.rf.b0f2e4877f6269bd04a3acd493f148c3.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653408890906_jpg.rf.a1874b0bf8cbb54776762144810a4ada.jpg,PROCEED,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656146611606_jpg.rf.f9bf45ec05bbd084bf72057062904d73.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1656668287719_jpg.rf.970b993940e21e779cc9fa55db51dd01.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655371798686_jpg.rf.ce4dd9957537213ae9c6ccf1f56267bc.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656612631538_jpg.rf.4ab1dab7468b51da0691bbe8137373fe.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655308613613_jpg.rf.88f672d9d0da4e12287d797ee5f2a0b4.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1656251727986_jpg.rf.6ead2eb03b31fa8ccd971f21b1f9d213.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656237920342_jpg.rf.19a1d9347f052f31aa12706228e454ac.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1655371629362_jpg.rf.316e08c9171d5f373c16ee4d97215714.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656610380032_jpg.rf.0f3b254d55273df71377f20197b0b192.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656022178543_jpg.rf.2195ac27df792323efc4a0768eabaac0.jpg,SLOW DOWN,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656610315416_jpg.rf.66510e1e610fa170c27ae286466ef347.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656015427936_jpg.rf.93a9825b8e2a37b07595b1b824478ad8.jpg,SLOW DOWN,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653763965883_jpg.rf.90e5127c443888de90f9267fb43b817f.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653754195953_jpg.rf.e2a1814b95512daaac67354c7b4e298f.jpg,EMERGENCY BRAKE,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1656254881407_jpg.rf.37a09d232eb94a6fec624f859e82441f.jpg,PROCEED,night_low_light,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656230563380_jpg.rf.6548c2f43839bf0f028f4c86bf73e970.jpg,PROCEED,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656181280890_jpg.rf.5da5b45a9231e0876d0f91039fb134fa.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653756574746_jpg.rf.5aa2b572722827364b5145e310c78d07.jpg,EMERGENCY BRAKE,clear_day,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653752794169_jpg.rf.2ec64fa5c8bcfb4125d95c20f7ac64a5.jpg,SLOW DOWN,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\test\images\1653772470016_jpg.rf.6d4ff73843b1da1f6afa1bd107902d5b.jpg,EMERGENCY BRAKE,blurred,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1653386893969_jpg.rf.fab5a56b693c4211db3aea07364cd6be.jpg,PROCEED,high_density,rule_derived
C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\valid\images\1653344879953_jpg.rf.7773b7c4b47ca560fbc32f54d367b488.jpg,PROCEED,clear_day,rule_derived
