run_id,image_path,perturbation_type,severity,strategy,pred_action,true_action,is_correct,confidence,was_tie,arbitration_ms,perception_ms,n_conflicts,agreement_rate
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,clean,none,Adaptive Strategy Selection,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.043199979700148106,2141.8240999919362,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Majority Voting,PROCEED,SLOW DOWN,False,0.333,False,0.08639995940029621,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.369,False,0.06469996878877282,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.05299999611452222,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,True,0.060399994254112244,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.326,False,0.052499992307275534,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.453,False,0.09320001117885113,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Weighted Consensus,PROCEED,SLOW DOWN,False,0.326,False,0.0619000056758523,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.322,False,0.058999983593821526,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.322,False,0.06430002395063639,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Dynamic Entropy-Weighted Ensemble,EMERGENCY BRAKE,SLOW DOWN,False,0.274,True,0.06340001709759235,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,low,Adaptive Strategy Selection,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.04299997817724943,271.20999997714534,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Majority Voting,PROCEED,SLOW DOWN,False,0.333,False,0.0771000050008297,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.384,False,0.05059997783973813,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.04529999569058418,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,True,0.0475000124424696,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.354,False,0.04380004247650504,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.784,False,0.07319997530430555,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Weighted Consensus,PROCEED,SLOW DOWN,False,0.354,False,0.049399968702346087,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.353,False,0.04610000178217888,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.353,False,0.047600013203918934,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Dynamic Entropy-Weighted Ensemble,PROCEED,SLOW DOWN,False,0.41,False,0.06120000034570694,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,medium,Adaptive Strategy Selection,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.048200017772614956,281.23279998544604,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Majority Voting,PROCEED,SLOW DOWN,False,0.5,False,0.08460000390186906,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.549,False,0.06549997488036752,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.06839999696239829,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,True,0.05830003647133708,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.492,False,0.051799986977130175,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.939,False,0.08759996853768826,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Weighted Consensus,PROCEED,SLOW DOWN,False,0.492,False,0.04040001658722758,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.49,False,0.05230004899203777,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.49,False,0.034400029107928276,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Dynamic Entropy-Weighted Ensemble,PROCEED,SLOW DOWN,False,0.491,False,0.05479995161294937,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,gaussian_noise,severe,Adaptive Strategy Selection,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.03460003063082695,328.2145999837667,2,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Majority Voting,PROCEED,SLOW DOWN,False,0.333,False,0.0893000396899879,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.369,False,0.05329999839887023,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.04429998807609081,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,True,0.05059997783973813,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.326,False,0.04539999645203352,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.453,False,0.07349997758865356,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Weighted Consensus,PROCEED,SLOW DOWN,False,0.326,False,0.05089998012408614,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.322,False,0.04650000482797623,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.322,False,0.046200002543628216,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Dynamic Entropy-Weighted Ensemble,EMERGENCY BRAKE,SLOW DOWN,False,0.274,True,0.06229995051398873,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,low,Adaptive Strategy Selection,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.046200002543628216,272.104500036221,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Majority Voting,PROCEED,SLOW DOWN,False,0.5,False,0.07369997911155224,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.49,False,0.05470000905916095,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.04780001472681761,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,True,0.051499984692782164,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.437,False,0.047099951189011335,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.379,False,0.11329998960718513,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Weighted Consensus,PROCEED,SLOW DOWN,False,0.437,False,0.054800009820610285,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.449,False,0.049099966417998075,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.449,False,0.045599997974932194,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Dynamic Entropy-Weighted Ensemble,PROCEED,SLOW DOWN,False,0.329,False,0.057399971410632133,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,medium,Adaptive Strategy Selection,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.044599990360438824,281.1476999777369,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Majority Voting,PROCEED,SLOW DOWN,False,0.333,True,0.05759997293353081,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.401,False,0.03850000211969018,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.05129998316988349,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,True,0.03860000288113952,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.356,False,0.0323000131174922,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.687,False,0.050499977078288794,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Weighted Consensus,PROCEED,SLOW DOWN,False,0.356,False,0.03570003900676966,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.344,False,0.04240003181621432,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.344,False,0.0315000070258975,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Dynamic Entropy-Weighted Ensemble,PROCEED,SLOW DOWN,False,0.388,False,0.03840000135824084,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,motion_blur,severe,Adaptive Strategy Selection,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.04380004247650504,266.7637999984436,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Majority Voting,PROCEED,SLOW DOWN,False,0.333,False,0.09280000813305378,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Confidence Weighted Voting,PROCEED,SLOW DOWN,False,0.374,False,0.058699981309473515,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Rule-Based Arbitration,EMERGENCY BRAKE,SLOW DOWN,False,0.99,False,0.054800009820610285,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Leader Election,EMERGENCY BRAKE,SLOW DOWN,False,0.96,False,0.05740002961829305,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Dynamic Reliability Scoring,PROCEED,SLOW DOWN,False,0.331,False,0.048200017772614956,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Bayesian Fusion,PROCEED,SLOW DOWN,False,0.509,False,0.07840001489967108,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Weighted Consensus,PROCEED,SLOW DOWN,False,0.331,False,0.053099996875971556,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Softmax-Weighted Selection,PROCEED,SLOW DOWN,False,0.327,False,0.04850002005696297,282.01219998300076,1,0.6666666666666666
sweep_e70d877e,C:\Users\Yashraj Sharma\Downloads\road traffic.v1i.yolov11\train\images\1656251692175_jpg.rf.48358283a9cc6cc071f653255b0ad850.jpg,brightness_drop,low,Adaptive Reliability Learning,PROCEED,SLOW DOWN,False,0.327,False,0.04650000482797623,282.01219998300076,1,0.6666666666666666
